time,seconds_elapsed,magneticBearing
1779786621036473600,0.0694736328125,35.80881191133266
1779786621046555400,0.079555419921875,35.79343162680356
1779786621056636700,0.08963671875,35.83405227319496
1779786621066718500,0.099718505859375,36.03351056226534
1779786621076800500,0.109800537109375,36.1761791192831
1779786621086881300,0.11988134765625,36.420529023572556
1779786621096963300,0.12996337890625,36.508554257500144
1779786621107045400,0.14004541015625,36.115906741294694
1779786621117126400,0.15012646484375,36.20673336263573
1779786621127208400,0.16020849609375,36.547365677990264
1779786621137290500,0.17029052734375,36.628912421033235
1779786621147371500,0.18037158203125,37.01557688127332
1779786621157453600,0.19045361328125,36.92835006405959
1779786621167534600,0.20053466796875,36.717649788791306
1779786621177616600,0.21061669921875,36.6689538741022
1779786621187698700,0.22069873046875,36.30259302034857
1779786621197779500,0.230779541015625,36.239616457291795
1779786621207861500,0.240861572265625,36.52184161870353
1779786621217943600,0.250943603515625,36.622364048809246
1779786621228024600,0.261024658203125,36.497927380763926
1779786621238106400,0.2711064453125,36.57417054056512
1779786621248188400,0.2811884765625,36.80307622446315
1779786621258269400,0.29126953125,37.03140968139119
1779786621268351500,0.3013515625,37.03140968139119
1779786621278433500,0.31143359375,36.934908583819414
1779786621288514600,0.3215146484375,37.15588094993927
1779786621298596600,0.3315966796875,37.2983441625479
1779786621308678700,0.3416787109375,37.82825405884857
1779786621318759400,0.351759521484375,37.971297387400654
1779786621328841500,0.361841552734375,38.428337230740944
1779786621338923500,0.371923583984375,38.15050404153755
1779786621349004500,0.382004638671875,38.001994439664436
1779786621359086600,0.392086669921875,37.89475472165686
1779786621369168600,0.402168701171875,37.80038378673729
1779786621379249700,0.412249755859375,37.70371057347657
1779786621389331500,0.42233154296875,37.87405298803739
1779786621399413500,0.43241357421875,37.985965838689175
1779786621409494500,0.44249462890625,38.06006889532783
1779786621419576300,0.452576416015625,37.896631353260176
1779786621429658400,0.462658447265625,38.190587668306776
1779786621439739400,0.472739501953125,37.924619367035774
1779786621449821400,0.482821533203125,37.94140231499821
1779786621459903500,0.492903564453125,38.094747447700385
1779786621469984500,0.502984619140625,37.588455115861805
1779786621480066600,0.513066650390625,37.629719476617325
1779786621490148600,0.523148681640625,37.3130112181023
1779786621500229600,0.533229736328125,37.31840720579497
1779786621510311700,0.543311767578125,37.66592750078112
1779786621520393700,0.553393798828125,38.04713389518269
1779786621530474500,0.563474609375,37.9435255481501
1779786621540556500,0.573556640625,38.156679456914794
1779786621550638300,0.583638427734375,37.91570910395872
1779786621560719600,0.5937197265625,38.20537162883616
1779786621570801400,0.603801513671875,38.3847004583058
1779786621580882400,0.61388232421875,38.206580079364514
1779786621590964500,0.623964599609375,38.34390146074885
1779786621601046500,0.634046630859375,38.35469026029106
1779786621611127600,0.64412744140625,38.23160764529695
1779786621621209600,0.654209716796875,38.575666054009005
1779786621631291600,0.664291748046875,38.721074640527604
1779786621641372400,0.674372314453125,38.60867996724433
1779786621651454500,0.684454345703125,38.61096512025808
1779786621661536500,0.69453662109375,38.672768175860114
1779786621671617500,0.704617431640625,38.1005054667145
1779786621681699600,0.714699462890625,37.94661001132065
1779786621691781600,0.72478173828125,37.765947919824896
1779786621701862700,0.734862548828125,37.73753230138408
1779786621711944700,0.74494482421875,37.2431062858889
1779786621722026500,0.755026611328125,36.82052613501544
1779786621732107500,0.765107421875,36.25477167706485
1779786621742189300,0.775189208984375,36.178884993571565
1779786621752271400,0.785271240234375,36.20094951902617
1779786621762352400,0.795352294921875,35.89043609545407
1779786621772434400,0.805434326171875,35.76208238813352
1779786621782516500,0.8155166015625,35.41929904436936
1779786621792597500,0.825597412109375,35.449742306750224
1779786621802679600,0.835679443359375,35.64525009893408
1779786621812761600,0.84576171875,35.429488425354755
1779786621822842600,0.855842529296875,35.299612682036624
1779786621832924700,0.865924560546875,35.39373484249249
1779786621843007000,0.876007080078125,35.83172858735209
1779786621853088300,0.886088134765625,36.81507419492228
1779786621863170000,0.896170166015625,36.59715510081108
1779786621873252000,0.906252197265625,36.33148350775756
1779786621883333000,0.9163330078125,36.140512645417786
1779786621893415200,0.926415283203125,36.058489753251436
1779786621903496000,0.936495849609375,36.449426031657964
1779786621913578000,0.946577880859375,36.53044480373659
1779786621923660000,0.956659912109375,36.43440728741716
1779786621933741000,0.966740966796875,36.550420955390784
1779786621943823000,0.976822998046875,35.823410514955114
1779786621953905200,0.9869052734375,35.93465435667585
1779786621963986200,0.996986083984375,35.55206137234256
1779786621974068200,1.007068115234375,35.74109984515379
1779786621984150300,1.017150390625,35.26256551288505
1779786621994231300,1.027231201171875,34.749613557169326
1779786622004313300,1.037313232421875,34.34774750313035
1779786622014395100,1.04739501953125,34.11309627601422
1779786622024476200,1.05747607421875,34.244789655370745
1779786622034558000,1.067557861328125,34.15517202547099
1779786622044640000,1.077639892578125,33.916981620105076
1779786622054721000,1.087720947265625,33.7247793442994
1779786622064803000,1.097802978515625,34.189416837121705
1779786622074885000,1.107885009765625,34.180367211368456
1779786622084966100,1.117966064453125,34.07103265201775
