time,seconds_elapsed,z,y,x
1779786621036473600,0.0694736328125,-6.63117813565433,-7.161295065936446,-0.9558841360345482
1779786621046555400,0.079555419921875,-6.6113359555870295,-7.178239186474681,-0.9661813659042119
1779786621056636700,0.08963671875,-6.586265227216482,-7.199411153841019,-0.9797831172119825
1779786621066718500,0.099718505859375,-6.560869504675269,-7.221202714410424,-0.9897525764320045
1779786621076800500,0.109800537109375,-6.537984888172149,-7.240223056700826,-1.002154450430721
1779786621086881300,0.11988134765625,-6.519266743698716,-7.2560162536382675,-1.0098391597144305
1779786621096963300,0.12996337890625,-6.502914159312844,-7.268941201663017,-1.0222446869749575
1779786621107045400,0.14004541015625,-6.488415678361058,-7.2807245784372085,-1.0304848381843417
1779786621117126400,0.15012646484375,-6.474677660387754,-7.2909718316853045,-1.0443482361029832
1779786621127208400,0.16020849609375,-6.460255751803517,-7.302277654075622,-1.0546144132472575
1779786621137290500,0.17029052734375,-6.442709573718905,-7.315068746587634,-1.0731490909125656
1779786621147371500,0.18037158203125,-6.423205831825733,-7.330290281116962,-1.0861218966670334
1779786621157453600,0.19045361328125,-6.402476347529888,-7.346142514765262,-1.1013037567730992
1779786621167534600,0.20053466796875,-6.383568817964195,-7.362100546875595,-1.104498753422126
1779786621177616600,0.21061669921875,-6.368347867956757,-7.3749325559198855,-1.1067514277197419
1779786621187698700,0.22069873046875,-6.35909254835546,-7.38443571280241,-1.0965544433541596
1779786621197779500,0.230779541015625,-6.354924907281995,-7.389189629331231,-1.0886637631695717
1779786621207861500,0.240861572265625,-6.355661989384889,-7.390559164118766,-1.0749796673405916
1779786621217943600,0.250943603515625,-6.358291753366589,-7.388722011819482,-1.072054792869836
1779786621228024600,0.261024658203125,-6.359883406472206,-7.388124630448222,-1.066715477668494
1779786621238106400,0.2711064453125,-6.357483359593153,-7.390145907142758,-1.0670276854228227
1779786621248188400,0.2811884765625,-6.35142654377222,-7.396105107808113,-1.0617888349212705
1779786621258269400,0.29126953125,-6.342479851728678,-7.404862999281287,-1.0542055401854216
1779786621268351500,0.3013515625,-6.331345294252038,-7.415511234545708,-1.0462552387680857
1779786621278433500,0.31143359375,-6.319488267719746,-7.426523626947403,-1.0398106657385826
1779786621288514600,0.3215146484375,-6.309300051182508,-7.436140765598416,-1.032922732855752
1779786621298596600,0.3315966796875,-6.303265447193384,-7.442446003222465,-1.0243162325520068
1779786621308678700,0.3416787109375,-6.301502529174089,-7.445745044767857,-1.011107426084578
1779786621318759400,0.351759521484375,-6.302662805125117,-7.447467046254872,-0.9909923473600297
1779786621328841500,0.361841552734375,-6.305500658899545,-7.4485378903567785,-0.964540393764153
1779786621338923500,0.371923583984375,-6.308932386913895,-7.44931764255762,-0.9356457962565123
1779786621349004500,0.382004638671875,-6.3110407573699945,-7.450836230427027,-0.9089538233596831
1779786621359086600,0.392086669921875,-6.310588337427378,-7.454072728130221,-0.8852406470779329
1779786621369168600,0.402168701171875,-6.306999373024702,-7.4593848630636925,-0.8658677650228143
1779786621379249700,0.412249755859375,-6.300871245533227,-7.4661735002905125,-0.8518547295004129
1779786621389331500,0.42233154296875,-6.294667714717984,-7.472431976163387,-0.8427959553845227
1779786621399413500,0.43241357421875,-6.292251885747909,-7.475287950116395,-0.835476499216631
1779786621409494500,0.44249462890625,-6.295156959539652,-7.473857625052332,-0.826340860472247
1779786621419576300,0.452576416015625,-6.303117563155293,-7.468519771155715,-0.8138280003797262
1779786621429658400,0.462658447265625,-6.3147793593764305,-7.460501884394883,-0.7967747203785925
1779786621439739400,0.472739501953125,-6.329636736768483,-7.450280934631824,-0.7742051611740142
1779786621449821400,0.482821533203125,-6.346221960866451,-7.438723183307051,-0.7491636588979512
1779786621459903500,0.492903564453125,-6.364061568939685,-7.425885913565755,-0.7247980831220746
1779786621469984500,0.502984619140625,-6.383945250061154,-7.410960731634497,-0.7023471087958664
1779786621480066600,0.513066650390625,-6.402887266418338,-7.39653999209404,-0.6816252232845872
1779786621490148600,0.523148681640625,-6.4160676505088805,-7.387002932941913,-0.6608015578992664
1779786621500229600,0.533229736328125,-6.422796081981063,-7.382765149241686,-0.642537806129828
1779786621510311700,0.543311767578125,-6.422777961802482,-7.384190213608742,-0.626136633361876
1779786621520393700,0.553393798828125,-6.419856521397828,-7.387861011075973,-0.6126461969414726
1779786621530474500,0.563474609375,-6.419457877469062,-7.389005504935979,-0.6029525955207645
1779786621540556500,0.573556640625,-6.423743591964245,-7.385881819957494,-0.5955255507925525
1779786621550638300,0.583638427734375,-6.434965827724337,-7.376419579607248,-0.5916404895201325
1779786621560719600,0.5937197265625,-6.451938589835167,-7.361959677100181,-0.5868658955294639
1779786621570801400,0.603801513671875,-6.473250257933139,-7.344354462304711,-0.5725935514837504
1779786621580882400,0.61388232421875,-6.493738334688544,-7.328086049070954,-0.5485459921484813
1779786621590964500,0.623964599609375,-6.498887972536683,-7.325832717186212,-0.5167342650851234
1779786621601046500,0.634046630859375,-6.491312568846345,-7.334474288803339,-0.48859446800015865
