time,seconds_elapsed,z,y,x
1779786621036473600,0.0694736328125,-18.37195587158203,29.989418029785156,-21.636062622070312
1779786621046555400,0.079555419921875,-18.735008239746094,29.773048400878906,-21.467811584472656
1779786621056636700,0.08963671875,-18.671470642089844,29.70386505126953,-21.449951171875
1779786621066718500,0.099718505859375,-18.70587921142578,29.753585815429688,-21.643844604492188
1779786621076800500,0.109800537109375,-18.83989715576172,29.8267822265625,-21.810867309570312
1779786621086881300,0.11988134765625,-19.20317840576172,29.709373474121094,-21.920074462890625
1779786621096963300,0.12996337890625,-19.579429626464844,29.65380859375,-21.94951629638672
1779786621107045400,0.14004541015625,-19.45159149169922,29.79772186279297,-21.741546630859375
1779786621117126400,0.15012646484375,-18.96314239501953,29.877037048339844,-21.87207794189453
1779786621127208400,0.16020849609375,-18.87651824951172,29.625633239746094,-21.959739685058594
1779786621137290500,0.17029052734375,-19.20256805419922,29.70831298828125,-22.08660888671875
1779786621147371500,0.18037158203125,-19.15892791748047,29.56201171875,-22.28917694091797
1779786621157453600,0.19045361328125,-19.241294860839844,29.422119140625,-22.113525390625
1779786621167534600,0.20053466796875,-18.948448181152344,29.30988311767578,-21.8609619140625
1779786621177616600,0.21061669921875,-19.317787170410156,29.32770538330078,-21.835487365722656
1779786621187698700,0.22069873046875,-19.471412658691406,29.351272583007812,-21.562698364257812
1779786621197779500,0.230779541015625,-19.615211486816406,29.453765869140625,-21.58818817138672
1779786621207861500,0.240861572265625,-19.35216522216797,29.237342834472656,-21.651748657226562
1779786621217943600,0.250943603515625,-19.34058380126953,29.319725036621094,-21.792510986328125
1779786621228024600,0.261024658203125,-19.359718322753906,29.569190979003906,-21.878395080566406
1779786621238106400,0.2711064453125,-19.45050811767578,29.38512420654297,-21.802772521972656
1779786621248188400,0.2811884765625,-19.57318878173828,29.266868591308594,-21.896865844726562
1779786621258269400,0.29126953125,-18.965248107910156,29.169174194335938,-22.005630493164062
1779786621268351500,0.3013515625,-18.965248107910156,29.169174194335938,-22.005630493164062
1779786621278433500,0.31143359375,-19.17388153076172,29.21526336669922,-21.963287353515625
1779786621288514600,0.3215146484375,-19.03520965576172,29.14568328857422,-22.087425231933594
1779786621298596600,0.3315966796875,-19.39275360107422,29.012184143066406,-22.10003662109375
1779786621308678700,0.3416787109375,-18.761253356933594,28.972129821777344,-22.49597930908203
