time,seconds_elapsed,z,y,x
1779786621017570600,0.050570556640625,-0.717010498046875,-0.7971038818359375,-0.1062774658203125
1779786621027651600,0.060651611328125,-0.7245941162109375,-0.7940673828125,-0.109039306640625
1779786621037733600,0.070733642578125,-0.7212677001953125,-0.789276123046875,-0.1091766357421875
1779786621047815700,0.080815673828125,-0.7039794921875,-0.780242919921875,-0.1110076904296875
1779786621057896700,0.090896728515625,-0.6755828857421875,-0.75860595703125,-0.1114959716796875
1779786621067978500,0.100978515625,-0.6479339599609375,-0.74188232421875,-0.1166229248046875
1779786621078060500,0.111060546875,-0.6345062255859375,-0.735321044921875,-0.1214141845703125
1779786621088141600,0.1211416015625,-0.6416168212890625,-0.7329864501953125,-0.1251678466796875
1779786621098223400,0.131223388671875,-0.656524658203125,-0.7318572998046875,-0.1298675537109375
1779786621108305400,0.141305419921875,-0.66424560546875,-0.73187255859375,-0.131439208984375
1779786621118386400,0.151386474609375,-0.664703369140625,-0.729248046875,-0.123626708984375
1779786621128468500,0.161468505859375,-0.66400146484375,-0.730133056640625,-0.119171142578125
1779786621138550500,0.171550537109375,-0.6611480712890625,-0.7295379638671875,-0.11273193359375
1779786621148631600,0.181631591796875,-0.6450042724609375,-0.731201171875,-0.1060638427734375
1779786621158713600,0.191713623046875,-0.613525390625,-0.7333526611328125,-0.10614013671875
1779786621168795600,0.201795654296875,-0.5812225341796875,-0.7332916259765625,-0.1048431396484375
1779786621178876400,0.21187646484375,-0.5607147216796875,-0.7320556640625,-0.104644775390625
1779786621188958500,0.22195849609375,-0.555023193359375,-0.7314910888671875,-0.109344482421875
1779786621199040500,0.23204052734375,-0.5616302490234375,-0.743927001953125,-0.1085662841796875
1779786621209121500,0.24212158203125,-0.5793609619140625,-0.745635986328125,-0.11566162109375
1779786621219203600,0.25220361328125,-0.6005401611328125,-0.737548828125,-0.117584228515625
1779786621229285400,0.262285400390625,-0.6254730224609375,-0.73321533203125,-0.120330810546875
1779786621239366700,0.27236669921875,-0.6330718994140625,-0.735992431640625,-0.1238250732421875
1779786621249448400,0.282448486328125,-0.624237060546875,-0.7447509765625,-0.11627197265625
1779786621259530500,0.292530517578125,-0.6097564697265625,-0.7551727294921875,-0.106658935546875
1779786621269611500,0.302611572265625,-0.5986175537109375,-0.765350341796875,-0.09161376953125
1779786621279693600,0.312693603515625,-0.58612060546875,-0.7721710205078125,-0.0796356201171875
1779786621289775600,0.322775634765625,-0.5703277587890625,-0.7738037109375,-0.07568359375
1779786621299856400,0.3328564453125,-0.558502197265625,-0.7762908935546875,-0.0809173583984375
1779786621309938400,0.3429384765625,-0.55865478515625,-0.7847900390625,-0.088623046875
1779786621320020500,0.3530205078125,-0.5666961669921875,-0.7936248779296875,-0.0946197509765625
1779786621330101500,0.3631015625,-0.573150634765625,-0.7915496826171875,-0.09735107421875
1779786621340183600,0.37318359375,-0.5856781005859375,-0.7856903076171875,-0.0972137451171875
1779786621350265600,0.383265625,-0.6034088134765625,-0.78173828125,-0.09173583984375
1779786621360346600,0.3933466796875,-0.617889404296875,-0.7860870361328125,-0.0821990966796875
1779786621370428700,0.4034287109375,-0.630279541015625,-0.7905731201171875,-0.066558837890625
1779786621380510500,0.413510498046875,-0.6448974609375,-0.7951812744140625,-0.0514984130859375
1779786621390591700,0.423591796875,-0.6560211181640625,-0.8093414306640625,-0.0398712158203125
1779786621400673500,0.433673583984375,-0.647430419921875,-0.8204803466796875,-0.0325469970703125
1779786621410754600,0.443754638671875,-0.6250152587890625,-0.8168182373046875,-0.04266357421875
1779786621420836400,0.45383642578125,-0.5948333740234375,-0.809478759765625,-0.059356689453125
1779786621430918400,0.46391845703125,-0.5758209228515625,-0.8034820556640625,-0.065093994140625
1779786621440999400,0.47399951171875,-0.5699920654296875,-0.80108642578125,-0.0721282958984375
1779786621451081500,0.48408154296875,-0.5870513916015625,-0.8001708984375,-0.0684967041015625
1779786621461163500,0.49416357421875,-0.6144561767578125,-0.79681396484375,-0.0625152587890625
