time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1779786621036473600,0.0694736328125,-1.9502618043916822,0.16842178436443908,-0.7734128770676868,-0.14316379398728823,0.489825006505072,-0.3654286741690604,0.8186861868116454
1779786621046555400,0.079555419921875,-1.9499766241320746,0.16840042741856243,-0.7731374493948016,-0.14511287608889395,0.489226821438128,-0.3668200740489605,0.8212186633025426
1779786621056636700,0.08963671875,-1.949290221148985,0.1683878284661892,-0.772721550923073,-0.14767854427617413,0.48857705796289774,-0.3685640543905008,0.8243928118295578
1779786621066718500,0.099718505859375,-1.9492590320782173,0.16848305171332753,-0.7724062173356383,-0.14972790418374607,0.48774991594922035,-0.37027314350287827,0.8276712355987398
1779786621076800500,0.109800537109375,-1.9483412816531158,0.16851020442523387,-0.7719607967344778,-0.15209802904592978,0.4872587583449369,-0.3718330889087845,0.8305423494874336
1779786621086881300,0.11988134765625,-1.9479144465813751,0.16862266629556216,-0.7716387434630543,-0.15367935489727916,0.4867892410759342,-0.3730634009138606,0.8329332117999086
1779786621096963300,0.12996337890625,-1.9463757235901467,0.16857325752013239,-0.7711648729020806,-0.15592196225758356,0.48668372039643426,-0.37420144202141625,0.834894554903392
1779786621107045400,0.14004541015625,-1.945707702431969,0.16857158077032247,-0.770872159628614,-0.15750370112773932,0.4863880333912112,-0.3751885971308392,0.8366863350041607
1779786621117126400,0.15012646484375,-1.9440162952836093,0.16837946144258928,-0.7704347839785378,-0.15991995817914773,0.4863608519191791,-0.37620695561494166,0.8382474361720114
1779786621127208400,0.16020849609375,-1.9434327521062127,0.1682239882855756,-0.7701990912729751,-0.16181915240603345,0.48597802840181925,-0.3772523107542053,0.8399729999366666
1779786621137290500,0.17029052734375,-1.941821896378826,0.16781254012142802,-0.7697920275935055,-0.16505265987264792,0.4857025955591849,-0.37861879696323086,0.8419292490406863
1779786621147371500,0.18037158203125,-1.9415022756066609,0.16755963851948535,-0.7695776577000398,-0.16750892141889365,0.48501818201954894,-0.380041338929888,0.8442627745960414
1779786621157453600,0.19045361328125,-1.9401681307668286,0.16738291297629526,-0.7691337206580086,-0.1703451328439282,0.48463268729977665,-0.3815068836596977,0.8466995556334981
1779786621167534600,0.20053466796875,-1.9405694351269567,0.16759595258116142,-0.7689512075665489,-0.1713259381489939,0.48392727114999706,-0.3826750122359808,0.8491593569535133
1779786621177616600,0.21061669921875,-1.940438980453921,0.16787206348560949,-0.7686897726337539,-0.17207081532092783,0.48354052393721497,-0.38356693814365483,0.8511423643844425
1779786621187698700,0.22069873046875,-1.942183351074824,0.16843981701563643,-0.7687834123601144,-0.17075952302924133,0.48290315447946264,-0.38393299535732023,0.8526137601249137
1779786621197779500,0.230779541015625,-1.942877900088739,0.16892718284270922,-0.7687493346193003,-0.16966332592905395,0.48273749394418314,-0.3839955805436219,0.8533508136785456
1779786621207861500,0.240861572265625,-1.944736396986245,0.16943965532613137,-0.7689875270739474,-0.16755159826169724,0.4823968521643706,-0.38372077066161336,0.8535632044421667
1779786621217943600,0.250943603515625,-1.94503346629628,0.16950393505833608,-0.7690579839438034,-0.16703631763073887,0.48242358413819103,-0.38351760174263944,0.853278227063433
1779786621228024600,0.261024658203125,-1.946456594401153,0.16953587465655437,-0.7693422426558101,-0.16617884599978563,0.48205420820965317,-0.38339767538933406,0.8531855795995908
1779786621238106400,0.2711064453125,-1.9468027926545008,0.16951191092405532,-0.7693881950676583,-0.166288206279374,0.48185411075185547,-0.3835678309119412,0.8534990942055517
1779786621248188400,0.2811884765625,-1.948006311360959,0.16977877064442484,-0.769484917655631,-0.1656415630570619,0.48137888812585783,-0.38385224484822744,0.8544240740096977
1779786621258269400,0.29126953125,-1.9494120730342372,0.17023406381900508,-0.7695397478741919,-0.1647076951337786,0.4808172111370408,-0.38424457207574764,0.8557850956753608
1779786621268351500,0.3013515625,-1.9510029792084171,0.17073400647939818,-0.769592708892591,-0.1637700468405636,0.48014157674638647,-0.3847611326018503,0.8574428627006527
1779786621278433500,0.31143359375,-1.952710037742883,0.17113160369046487,-0.7696838586314008,-0.16307909654544236,0.47936529022032504,-0.3853696249459014,0.8591606331195636
