time,seconds_elapsed,relativeAltitude,pressure
1779786620424193800,-0.54280615234375,0,997.5626373291016
1779786621429910800,0.462910888671875,0.0079193115234375,997.5617980957031
1779786622435645700,1.468645751953125,0.0158538818359375,997.5609588623047
1779786623441370600,2.47437060546875,0.05548095703125,997.5560760498047
1779786624447088600,3.480088623046875,0.05548095703125,997.5560760498047
1779786624798264800,3.831264892578125,-0.0052947998046875,997.5633239746094
1779786625871047700,4.904047607421875,-0.013214111328125,997.5643157958984
1779786626943835000,5.9768349609375,-0.0607757568359375,997.5701141357422
1779786628016589800,7.04958984375,-0.14532470703125,997.5801086425781
1779786629089343700,8.12234375,-0.2166748046875,997.5885772705078
1779786630162100700,9.195100830078125,-0.2880096435546875,997.5968170166016
1779786631234832600,10.26783251953125,-0.36199951171875,997.6057434082031
1779786632307575800,11.340575927734376,-0.4465484619140625,997.6156616210938
1779786633380316700,12.413316650390625,-0.5099639892578125,997.6232147216797
1779786634453073700,13.48607373046875,-0.5733795166015625,997.6308441162109
1779786635525816600,14.558816650390625,-0.6130218505859375,997.6353454589844
1779786636598547700,15.631547607421876,-0.6315155029296875,997.6375579833984
1779786637671302000,16.704302001953124,-0.6367950439453125,997.6381683349609
1779786638744055800,17.777055908203124,-0.6896514892578125,997.6444244384766
1779786639816822800,18.84982275390625,-0.7266387939453125,997.6488494873047
1779786640889600800,19.922600830078125,-0.77947998046875,997.6552581787109
1779786641962380500,20.995380615234374,-0.837615966796875,997.6622009277344
1779786643035166700,22.068166748046874,-0.8798980712890625,997.6669311523438
1779786644107980800,23.140980712890624,-0.8851776123046875,997.6677703857422
1779786645180760800,24.2137607421875,-0.8904571533203125,997.6683044433594
1779786646253513000,25.286512939453125,-0.91424560546875,997.6711273193359
1779786647326306800,26.359306884765626,-0.9221649169921875,997.672119140625
1779786648399117800,27.432117919921875,-0.9248199462890625,997.6725769042969
1779786649471931600,28.504931640625,-0.927459716796875,997.6727294921875
1779786650544749800,29.577749755859376,-0.9248199462890625,997.6725769042969
1779786651617536800,30.650536865234375,-0.90631103515625,997.6702880859375
1779786652690347800,31.72334765625,-0.8719635009765625,997.6661682128906
1779786653763147800,32.79614770507813,-0.811187744140625,997.6590728759766
1779786654835978800,33.868978759765625,-0.729278564453125,997.6493835449219
1779786655908750800,34.94175073242187,-0.620941162109375,997.6365661621094
1779786656981508600,36.014508544921874,-0.50732421875,997.6229095458984
1779786658054328600,37.08732861328125,-0.393707275390625,997.6094818115234
1779786659127163600,38.16016357421875,-0.3091583251953125,997.5995635986328
1779786660200003800,39.23300390625,-0.253662109375,997.5928497314453
1779786661272844800,40.3058447265625,-0.24310302734375,997.591552734375
1779786662345691600,41.37869165039063,-0.24310302734375,997.591552734375
1779786663418494700,42.45149462890625,-0.2827301025390625,997.5962066650391
1779786664491261700,43.52426171875,-0.3514251708984375,997.6045227050781
1779786665564073000,44.597072998046876,-0.44390869140625,997.6154327392578
1779786666636884700,45.669884765625,-0.5601806640625,997.6292419433594
1779786667709671700,46.74267163085938,-0.64208984375,997.6390075683594
1779786668782439700,47.815439697265624,-0.716064453125,997.6475524902344
1779786669855210800,48.888210693359376,-0.7398529052734375,997.6506042480469
1779786670927998700,49.96099877929687,-0.7583465576171875,997.652587890625
1779786672000779800,51.03377978515625,-0.7715606689453125,997.6541900634766
1779786673073604900,52.10660498046875,-0.774200439453125,997.6545715332031
1779786674146432800,53.179432861328124,-0.774200439453125,997.6545715332031
1779786675219297500,54.25229760742187,-0.7900543212890625,997.6564788818359
1779786676292136700,55.32513671875,-0.7900543212890625,997.6564788818359
1779786677364972800,56.39797290039063,-0.7689208984375,997.6538848876953
1779786678437830700,57.47083056640625,-0.7689208984375,997.6538848876953
1779786679510652700,58.54365258789063,-0.7689208984375,997.6538848876953
1779786680583531800,59.61653173828125,-0.7689208984375,997.6538848876953
1779786681656355800,60.68935595703125,-0.747772216796875,997.6515197753906
1779786682729205800,61.762205810546874,-0.729278564453125,997.6493835449219
1779786683802056700,62.835056640625,-0.6949310302734375,997.6451873779297
1779786684874934800,63.90793481445313,-0.6711578369140625,997.6422119140625
1779786685947830800,64.98083081054688,-0.64208984375,997.6387786865234
1779786687020694800,66.05369482421875,-0.6315155029296875,997.6377105712891
1779786688093576700,67.12657666015625,-0.6050872802734375,997.6344299316406
1779786689166470000,68.19946997070312,-0.5892333984375,997.6325225830078
1779786690239366700,69.27236669921875,-0.5680999755859375,997.6301574707031
1779786691312226800,70.34522680664062,-0.565460205078125,997.6298522949219
1779786692385122800,71.41812280273437,-0.565460205078125,997.6298522949219
1779786693457992000,72.49099194335938,-0.5945281982421875,997.6332855224609
1779786694530872800,73.56387280273438,-0.5945281982421875,997.6332855224609
1779786695603718700,74.63671875,-0.5945281982421875,997.6331329345703
1779786696676588800,75.7095888671875,-0.583953857421875,997.6321411132812
1779786697749506800,76.7825068359375,-0.5496063232421875,997.6280212402344
1779786698822361600,77.85536157226562,-0.5152587890625,997.6237487792969
1779786699895223800,78.92822387695313,-0.502044677734375,997.6223754882812
1779786700968133600,80.00113354492187,-0.4782562255859375,997.6193237304688
1779786702041024800,81.07402465820313,-0.4597625732421875,997.6172637939453
1779786703113922800,82.1469228515625,-0.4465484619140625,997.6157379150391
1779786704186780700,83.21978076171875,-0.438629150390625,997.6148986816406
1779786705259658800,84.29265869140625,-0.412200927734375,997.6116180419922
1779786706332565800,85.36556567382813,-0.412200927734375,997.6116180419922
1779786707405437700,86.43843774414063,-0.39898681640625,997.6101684570312
1779786708478363600,87.51136376953124,-0.3804931640625,997.6078033447266
1779786709551290600,88.58429052734375,-0.367279052734375,997.6062774658203
1779786710624188700,89.65718872070312,-0.343505859375,997.6033782958984
1779786711697077800,90.73007788085937,-0.303863525390625,997.598876953125
1779786712769984800,91.80298486328125,-0.266876220703125,997.5943756103516
1779786713842888000,92.87588793945312,-0.229888916015625,997.5901031494141
1779786714915780900,93.94878076171875,-0.1928863525390625,997.5856018066406
1779786715988675800,95.02167578125,-0.1506195068359375,997.58056640625
1779786717061601800,96.09460180664063,-0.14532470703125,997.5801849365234
1779786718134548700,97.167548828125,-0.14532470703125,997.5801849365234
1779786719207524900,98.24052490234375,-0.15325927734375,997.5809478759766
1779786720280483800,99.31348388671876,-0.166473388671875,997.5823974609375
1779786721353467600,100.38646752929688,-0.221954345703125,997.5889587402344
1779786722426419700,101.45941967773437,-0.298583984375,997.5981903076172
1779786723499356700,102.53235668945312,-0.367279052734375,997.606201171875
1779786724572269600,103.60526953125,-0.46240234375,997.6174926757812
1779786725645261800,104.67826171875,-0.539031982421875,997.6268005371094
1779786726718259000,105.75125903320313,-0.6130218505859375,997.6353454589844
1779786727791249700,106.82424975585937,-0.6130218505859375,997.6353454589844
1779786728864219600,107.8972197265625,-0.610382080078125,997.6349639892578
1779786729937170700,108.97017065429688,-0.5231781005859375,997.6247406005859
1779786731010059800,110.04305981445313,-0.44390869140625,997.6155090332031
1779786732082946800,111.11594677734375,-0.3725738525390625,997.6068878173828
1779786733155834600,112.18883471679688,-0.3091583251953125,997.5994110107422
1779786734228745700,113.26174584960937,-0.2325286865234375,997.5902557373047
1779786735301666800,114.33466674804687,-0.19818115234375,997.5861358642578
1779786736374591700,115.407591796875,-0.1691131591796875,997.5826263427734
1779786737447521800,116.48052172851563,-0.1056976318359375,997.5751495361328
1779786738520445700,117.55344580078125,-0.0343475341796875,997.5668334960938
1779786739593394000,118.62639379882812,-0.0052947998046875,997.5635528564453
1779786740666329900,119.69932983398438,0.0475616455078125,997.5572967529297
1779786741739289900,120.77228979492187,0.0977630615234375,997.5510406494141
1779786742812251000,121.8452509765625,0.163818359375,997.5431823730469
1779786743885222700,122.91822265625,0.203460693359375,997.5385284423828
1779786744958224000,123.99122387695313,0.240447998046875,997.5342559814453
1779786746031225600,125.0642255859375,0.248382568359375,997.5332641601562
1779786747104232700,126.13723266601562,0.28009033203125,997.5295257568359
1779786748177240800,127.21024072265625,0.3012237548828125,997.5269317626953
1779786749250233600,128.28323364257812,0.3012237548828125,997.5269317626953
1779786750323256800,129.3562568359375,0.266876220703125,997.5310516357422
1779786751396255700,130.429255859375,0.1928863525390625,997.5399017333984
1779786752469271600,131.502271484375,0.0845489501953125,997.5527954101562
1779786753542313000,132.57531298828124,-0.0079345703125,997.5637054443359
1779786754615353900,133.64835375976563,-0.058135986328125,997.5697326660156
1779786755688420900,134.7214208984375,-0.058135986328125,997.5697326660156
1779786756761459000,135.794458984375,-0.0370025634765625,997.567138671875
1779786757834501600,136.86750170898438,0.01849365234375,997.5605773925781
1779786758907538700,137.94053857421875,0.0475616455078125,997.5572204589844
1779786759980589800,139.01358984375,0.0475616455078125,997.5572204589844
1779786761053620000,140.08661987304689,0.0343475341796875,997.5586700439453
1779786762126657800,141.15965771484375,-0.058135986328125,997.569580078125
1779786763199676000,142.23267602539062,-0.1876068115234375,997.5850677490234
1779786764272732000,143.30573193359376,-0.3065185546875,997.5991058349609
1779786765345772800,144.37877270507812,-0.4254150390625,997.6133728027344
1779786766418847700,145.45184765625,-0.4914703369140625,997.6210784912109
1779786767491895600,146.5248955078125,-0.4914703369140625,997.6210784912109
1779786768564925700,147.59792578125,-0.4782562255859375,997.6194000244141
1779786769637955600,148.67095556640626,-0.4254150390625,997.6131439208984
1779786770710998800,149.74399877929687,-0.348785400390625,997.6040649414062
1779786771784080600,150.81708056640625,-0.28009033203125,997.5961303710938
1779786772857164800,151.89016479492187,-0.208740234375,997.5874328613281
1779786773930223600,152.9632236328125,-0.1268310546875,997.5778961181641
1779786775003284700,154.03628466796874,-0.095123291015625,997.5740051269531
1779786776076362800,155.10936279296874,-0.0687103271484375,997.5709533691406
1779786777149441800,156.18244189453125,-0.0687103271484375,997.5709533691406
1779786778222505700,157.25550561523437,-0.1638336181640625,997.5820922851562
1779786779295593700,158.32859375,-0.28009033203125,997.5961303710938
1779786780368684800,159.40168481445312,-0.3857879638671875,997.6084136962891
1779786781441775900,160.47477587890626,-0.50732421875,997.6228332519531
1779786782514836700,161.54783666992188,-0.5945281982421875,997.6333618164062
1779786783587915800,162.62091577148436,-0.6262359619140625,997.6370239257812
1779786784660964600,163.6939645996094,-0.6262359619140625,997.6370239257812
1779786785734021600,164.76702172851563,-0.6183013916015625,997.6360321044922
1779786786807100000,165.84009985351562,-0.5892333984375,997.6325225830078
1779786787880179700,166.9131796875,-0.5601806640625,997.6291656494141
1779786788953281800,167.98628173828126,-0.483551025390625,997.6201629638672
1779786790026352600,169.0593525390625,-0.393707275390625,997.6094818115234
1779786791099448600,170.13244848632812,-0.28009033203125,997.5959777832031
1779786792172512800,171.2055126953125,-0.140045166015625,997.5794219970703
1779786793245643800,172.2786437988281,-0.031707763671875,997.5662994384766
1779786794318755800,173.351755859375,0.0792694091796875,997.5534057617188
1779786795391881700,174.4248818359375,0.203460693359375,997.5386047363281
1779786796464963600,175.49796362304687,0.3065032958984375,997.5262451171875
1779786797538083800,176.57108374023437,0.3884124755859375,997.5166320800781
1779786798611186700,177.64418676757813,0.4861907958984375,997.5050354003906
1779786799684304600,178.7173046875,0.55224609375,997.4971771240234
1779786800757399800,179.79039990234375,0.565460205078125,997.4957275390625
1779786801830530600,180.8635305175781,0.565460205078125,997.4957275390625
1779786802903665700,181.93666577148437,0.4914703369140625,997.5045013427734
1779786803976815600,183.00981567382811,0.412200927734375,997.5138854980469
1779786805049983700,184.0829836425781,0.3276519775390625,997.5238800048828
1779786806123146800,185.15614672851564,0.2695159912109375,997.5306701660156
1779786807196275700,186.22927563476563,0.2642364501953125,997.5313568115234
1779786808269368600,187.30236865234374,0.2642364501953125,997.5313568115234
1779786809342508800,188.3755087890625,0.3197174072265625,997.5249481201172
1779786810415660800,189.44866088867187,0.385772705078125,997.5169372558594
1779786811488819700,190.52181982421874,0.457122802734375,997.5084686279297
1779786812561956600,191.59495654296876,0.5231781005859375,997.5005340576172
1779786813635132000,192.6681318359375,0.5892333984375,997.4927520751953
1779786814708309800,193.74130981445313,0.647369384765625,997.4858856201172
1779786815781472800,194.81447265625,0.7002105712890625,997.4797821044922
1779786816854661600,195.88766162109374,0.7371978759765625,997.4751281738281
1779786817927829800,196.96082983398438,0.774200439453125,997.4707794189453
1779786819001006800,198.0340068359375,0.78741455078125,997.4693298339844
1779786820074182000,199.10718188476562,0.792694091796875,997.4685668945312
1779786821147383800,200.1803837890625,0.7979736328125,997.4681854248047
1779786822220554000,201.25355395507813,0.7979736328125,997.4681091308594
1779786823293717800,202.3267177734375,0.7979736328125,997.4681091308594
1779786824366933800,203.39993383789061,0.7979736328125,997.4681091308594
1779786825440096800,204.4730966796875,0.837615966796875,997.4633026123047
1779786826513311700,205.54631176757812,0.837615966796875,997.4633026123047
1779786827586527000,206.61952685546876,0.8349761962890625,997.4636840820312
