time,seconds_elapsed,z,y,x
1779786621036473600,0.0694736328125,-0.4713707268029451,-0.6131266374021768,-0.11028393688425421
1779786621046555400,0.079555419921875,-0.4352478585422039,-0.5503934101134539,-0.11105967049710452
1779786621056636700,0.08963671875,-0.25277181501984597,-0.404124406003952,-0.10853110186755656
1779786621066718500,0.099718505859375,0.010035071802139282,-0.1680517968505621,-0.1135255491539836
1779786621076800500,0.109800537109375,0.2358475682258606,-0.008970657441020012,-0.15289828605614603
1779786621086881300,0.11988134765625,0.2955389436006546,0.048421793341636654,-0.19025434937365351
1779786621096963300,0.12996337890625,0.1742909835010767,0.08723463133871555,-0.21361206328123808
1779786621107045400,0.14004541015625,0.021228665989637373,0.10066343723237514,-0.2555008015923202
1779786621117126400,0.15012646484375,-0.046828386670351024,0.12258242357373236,-0.22712248304374516
1779786621127208400,0.16020849609375,-0.05556348178982734,0.14870295325815677,-0.14488047236055135
1779786621137290500,0.17029052734375,-0.06832184107601642,0.1553589040160179,-0.0799581375297159
1779786621147371500,0.18037158203125,-0.03605097206830978,0.17491934453248978,-0.001893266400694847
1779786621157453600,0.19045361328125,0.1441828454852104,0.17251579052209853,0.06940276818051934
1779786621167534600,0.20053466796875,0.45118601690828797,0.1652799940496683,0.060477338120713826
1779786621177616600,0.21061669921875,0.736886288061738,0.18858721987903118,0.08457695643678308
1779786621187698700,0.22069873046875,0.8831050232887268,0.20781682100594043,0.06091251466758549
1779786621197779500,0.230779541015625,0.9090139560490846,0.21077450176775453,0.0018459201276302337
1779786621207861500,0.240861572265625,0.8136836965382098,0.05233107573986053,0.015844780994206668
1779786621217943600,0.250943603515625,0.6288181275308132,0.1066080248504877,-0.08045417741835117
1779786621228024600,0.261024658203125,0.41014322790205476,0.16586568498313425,-0.08624225930050015
1779786621238106400,0.2711064453125,0.18193945242762566,0.20454817459881305,-0.1272300301838666
1779786621248188400,0.2811884765625,0.15687866092920302,0.1564882003068924,-0.1451880039397627
1779786621258269400,0.29126953125,0.252079741102457,0.0802519328445196,-0.06134286890886723
