time,seconds_elapsed,z,y,x
1779786621015482400,0.048482421875,-139.92544555664062,69.66401672363281,-100.88687133789062
1779786621025577500,0.058577392578125,-139.93125915527344,70.02574157714844,-101.29469299316406
1779786621035674600,0.068674560546875,-139.8059539794922,70.02252197265625,-101.79960632324219
1779786621045771500,0.078771484375,-140.34913635253906,69.69683837890625,-101.39788818359375
1779786621055867400,0.088867431640625,-140.11587524414062,69.68620300292969,-101.43984985351562
1779786621065963500,0.098963623046875,-140.1892547607422,69.78323364257812,-101.71798706054688
1779786621076059600,0.1090595703125,-140.36289978027344,69.86576843261719,-101.87432861328125
1779786621086155500,0.119155517578125,-140.81739807128906,69.67253112792969,-101.96052551269531
1779786621096252400,0.12925244140625,-141.1988067626953,69.64157104492188,-101.95823669433594
1779786621106349600,0.139349609375,-140.87042236328125,69.86483764648438,-101.65582275390625
1779786621116447500,0.149447509765625,-140.23851013183594,69.91845703125,-101.9210205078125
1779786621126544400,0.15954443359375,-140.31175231933594,69.53547668457031,-101.99162292480469
1779786621136641500,0.1696416015625,-140.80197143554688,69.75106811523438,-102.13409423828125
1779786621146739500,0.179739501953125,-140.6112518310547,69.513671875,-102.36677551269531
1779786621156836600,0.189836669921875,-140.74375915527344,69.37632751464844,-102.0406494140625
1779786621166933500,0.19993359375,-140.3016357421875,69.27510070800781,-101.75749206542969
1779786621177029600,0.210029541015625,-140.9344024658203,69.34466552734375,-101.82235717773438
1779786621187126300,0.220126220703125,-141.00221252441406,69.37051391601562,-101.45118713378906
1779786621197224700,0.230224609375,-141.14210510253906,69.50440979003906,-101.5953369140625
1779786621207319600,0.240319580078125,-140.71719360351562,69.16110229492188,-101.67404174804688
1779786621217416400,0.25041650390625,-140.8056640625,69.36236572265625,-101.84552001953125
1779786621227513600,0.260513671875,-140.83702087402344,69.67829895019531,-101.90957641601562
1779786621237611500,0.270611572265625,-140.95631408691406,69.32176208496094,-101.76969909667969
1779786621247708700,0.280708740234375,-141.0916748046875,69.22969055175781,-101.93130493164062
1779786621257806600,0.290806640625,-140.19308471679688,69.14016723632812,-102.04591369628906
1779786621267903500,0.300903564453125,-140.7265625,69.24346923828125,-101.94345092773438
1779786621278000600,0.311000732421875,-140.44972229003906,69.12786865234375,-102.13381958007812
1779786621288097500,0.32109765625,-141.0046844482422,68.96893310546875,-102.10206604003906
1779786621298195700,0.33119580078125,-139.97970581054688,68.966064453125,-102.6505126953125
1779786621308292600,0.341292724609375,-140.06851196289062,68.78009033203125,-102.49778747558594
1779786621318388500,0.351388427734375,-140.6853790283203,68.54928588867188,-102.7882080078125
1779786621328484600,0.361484619140625,-140.54165649414062,68.35586547851562,-102.17385864257812
1779786621338581500,0.37158154296875,-140.81072998046875,68.52947998046875,-102.2332763671875
1779786621348678700,0.3816787109375,-140.90065002441406,68.52932739257812,-102.16049194335938
