time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1779786619999546000,-0.967453857421875,-22.027008056640625,1.0700000524520874,10.179631122943318,20.99022850861865,5.613399505615234,31.406009674072266,3.5402085792994584,4,105.94567224393221,3.430000066757202
1779786620999577000,0.0325771484375,-21.85369873046875,0.9100000262260437,9.04357429603156,20.99027695601898,5.786708831787109,31.22002410888672,3.5355339059327373,4,105.94568599025341,6.579999923706055
1779786621999612400,1.0326123046875,-22.30780029296875,2.0299999713897705,18.50547206551701,20.990334162508127,5.332607269287109,31.22002410888672,3.6761491597098175,4,105.94571884731384,7.050000190734863
1779786622999644000,2.032643798828125,-22.543060302734375,1.0099999904632568,7.379157940589709,20.990389524978575,5.097347259521484,31.22002410888672,3.5355339059327373,4,105.9457470105085,7.480000019073486
1779786623999673900,3.032673828125,-21.93060302734375,1.6699999570846558,13.96337663066467,20.9904572507562,5.709804534912109,31.22002410888672,3.6246219118597685,4,105.94578866856726,7.480000019073486
1779786624999704800,4.032704833984375,-21.95513916015625,2.059999942779541,16.72712815471935,20.990509302374896,5.685268402099609,31.188304901123047,3.633205175136139,4,105.94583015898796,7.730000019073486
1779786625999735300,5.0327353515625,-21.95513475779444,2.0599999429216624,16.727128154719345,20.99056735408313,5.68527280446142,31.188304901123047,4.4736054284740945,4.088025335404768,105.94587146227201,7.7300000190677665
1779786626999758800,6.0327587890625,-22.491969101130962,1.4600000383646694,7.604497834139494,20.99064385225805,5.148438461124897,31.188304901123047,4.652191916095135,3.490221684736934,105.94590526543308,8.029999732964777
1779786627999787300,7.032787353515625,-22.836329450830817,0.910000026576464,8.156129524719104,20.99068572015477,4.804078111425042,31.188304901123047,4.652191649518593,3.4902220400625383,105.94592999223603,8.029999732964777
1779786628999810800,8.032810791015624,-23.057583946734667,0.769999981173166,8.965320818710746,20.990719662097945,4.5828236155211926,31.188304901123047,4.652191340405656,3.49022245208575,105.94596415852129,6.199999809262189
1779786629999831300,9.032831298828125,-23.02081084717065,0.7500000002044281,9.283150011358964,20.99075842644419,4.619596715085208,31.188304901123047,4.6521910380515505,3.4902228550998964,105.94599821531345,5.570000171659239
1779786630999848400,10.032848388671875,-22.791990061290562,1.1000000239803482,12.898959096636267,20.990810566470294,4.848417500965297,31.188304901123047,4.652190744879806,3.4902232458746125,105.94601602669718,5.550000190732742
1779786631999876000,11.0328759765625,-22.840757152996957,1.1799999476766838,16.68337396289625,20.99084513991648,4.799650409258902,31.188304901123047,4.657717451535369,3.4828444085907293,105.94605035574925,5.550000190732748
1779786632999891700,12.0328916015625,-22.48846302740276,1.7100000382064517,27.09534677706224,20.990871778331538,5.151944534853101,31.188304901123047,4.7036606770333576,3.420542832376016,105.94607127001649,4.550000190733697
1779786633999910400,13.032910400390625,-23.01287747733295,1.190000057285879,19.85117301126585,20.990902479124024,4.62753008492291,31.188304901123047,4.693920619387062,3.4338966571057172,105.9460783248134,3.9700000286094546
1779786634999928000,14.032927978515625,-23.364684861153364,0.959999978574797,23.302532485670497,20.99091726692514,4.275722701102495,31.188304901123047,4.6771693263658936,3.4566781923243672,105.94607939800079,2.5099999904630605
1779786635999945700,15.03294580078125,-23.16912821121514,0.7900000214979997,19.92048918605774,20.99093440201529,4.471279351040721,31.188304901123047,4.655393131627792,3.485950634013857,105.94611024070005,2.5399999618528244
1779786636999961000,16.032961181640626,-23.259246616624296,0.8299999833491867,18.64489671704447,20.990960595555677,4.381160945631564,31.188304901123047,4.652189674325013,3.4902246728387802,105.94611656777194,2.5399999618528244
1779786637999976700,17.032976806640626,-23.436767232604325,0.7900000215089168,16.186720172493345,20.990985058466464,4.203640329651535,31.188304901123047,4.652189527137155,3.4902248690283844,105.94613117280177,2.8599998950955348
1779786638999992300,18.032992431640626,-23.321624480187893,1.5700000524748716,35.32334099090731,20.990994787178444,4.3187830820679665,31.188304901123047,4.665638454530721,3.472226208701418,105.94615888230108,2.700000047683473
1779786640000006100,19.033006103515625,-23.37704388704151,1.0399999619187847,17.985131179072543,20.991033031186554,4.26336367521435,31.431669235229492,4.664739300292488,3.4734340778393333,105.94617624196688,3.7200000286095913
1779786641000020500,20.0330205078125,-22.94152800180018,0.6800000072096078,15.702335109387082,20.991046197518145,4.69887956045568,31.431669235229492,4.65677631414321,3.4841026668029773,105.94619350469453,2.7999999523160124
1779786642000033800,21.03303369140625,-22.83288542367518,0.6899999976720165,24.237329250951287,20.991061072195976,4.80752213858068,31.431669235229492,4.66477589234628,3.4733849350415795,105.94620562572817,2.799999952316012
1779786643000046800,22.033046875,-23.266510081477463,0.8199999928648825,29.87503910886607,20.991067622896196,4.373897480778396,31.431669235229492,4.652382430561729,3.4899677294481357,105.94620491432512,1.700000047683655
1779786644000060700,23.033060791015625,-23.118316640146077,0.9200000167103819,28.8589733377458,20.99108500379837,4.522090922109783,27.421878141596128,4.652188785508914,3.490225857559068,105.94621376765402,1.98000001907339
1779786645000072200,24.033072265625,-23.364318917505443,1.0199999809405125,45.51985378015797,20.99109498247256,4.276088644750416,33.398440723980514,4.652188716285868,3.490225949827788,105.9462195296864,1.700000047683655
1779786646000084500,25.03308447265625,-20.956388438120484,1.9932831161763658,91.19309945167873,20.991105354462814,6.684019124135375,49.85593198391042,4.987907652036933,2.9908718273340056,105.9462061290877,1.3027942969870379
1779786647000095500,26.033095458984373,-21.063001819886267,1.9156224539393212,59.18972443143657,20.991125258272,6.577405742369592,35.874465067631455,4.955639527496944,3.044039077656315,105.94621563908906,1.7507200286527833
1779786648000106200,27.033106201171876,-21.067003180272877,1.8103315694854485,40.27291654751641,20.991150780918314,6.573404381982982,25.534369594050908,4.919953945059978,3.1013852084637255,105.9462231659576,2.1295982608502806
1779786649000118800,28.033118896484375,-20.964533038437366,1.9901476269784606,39.688084479231215,20.99116976743707,6.675874523818493,19.63556517357534,4.8984671960958215,3.1352122992808593,105.94622468046842,2.2506847193351294
1779786650000128800,29.033128662109377,-20.896458234637976,2.1426234754048075,64.34021758471783,20.991173534046098,6.743949327617884,17.492670785771438,4.8901854461457726,3.148114250641629,105.94623180543861,1.4877717796088055
1779786651000139300,30.03313916015625,-20.909723073244095,2.146525136605702,87.4402402745584,20.991185056904744,6.7306844890117645,2.5360981054215745,4.885298022716226,3.1556933092481874,105.94623214777907,1.0424943116525285
